FpsCounter(average 114.20sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 115.20sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(average 116.23sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 117.27sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 118.27sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 119.30sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.06 fps, number-streams=1, per-stream=30.06 fps
FpsCounter(average 120.30sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 121.33sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 122.34sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 123.37sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 124.37sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 125.40sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 126.43sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 127.44sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 128.47sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 129.47sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 130.50sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.04 fps, number-streams=1, per-stream=30.04 fps
FpsCounter(average 131.50sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 132.54sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 133.57sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(average 134.57sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 135.57sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 136.60sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(average 137.63sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 138.64sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 139.67sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 140.67sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 141.70sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.04 fps, number-streams=1, per-stream=30.04 fps
FpsCounter(average 142.70sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 143.73sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 144.73sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 145.73sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 146.73sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 147.77sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 148.80sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 149.80sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
