FpsCounter(last 1.00sec): total=59.96 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(average 88.60sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=59.99 fps, number-streams=2, per-stream=29.99 fps (30.96, 29.03)
FpsCounter(average 89.63sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.01, 29.99)
FpsCounter(last 1.00sec): total=59.99 fps, number-streams=2, per-stream=30.00 fps (29.00, 31.00)
FpsCounter(average 90.63sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.01 fps, number-streams=2, per-stream=30.01 fps (30.01, 30.01)
FpsCounter(average 91.67sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(average 92.67sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.99 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(average 93.67sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=59.99 fps, number-streams=2, per-stream=30.00 fps (30.96, 29.03)
FpsCounter(average 94.70sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.01, 29.99)
FpsCounter(last 1.00sec): total=59.91 fps, number-streams=2, per-stream=29.96 fps (28.96, 30.95)
FpsCounter(average 95.70sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.07 fps, number-streams=2, per-stream=30.03 fps (30.03, 30.03)
FpsCounter(average 96.74sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=59.94 fps, number-streams=2, per-stream=29.97 fps (30.94, 29.00)
FpsCounter(average 97.77sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.01, 29.99)
FpsCounter(last 1.03sec): total=60.09 fps, number-streams=2, per-stream=30.05 fps (29.08, 31.02)
FpsCounter(average 98.80sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.99 fps, number-streams=2, per-stream=30.00 fps (31.00, 29.00)
FpsCounter(average 99.80sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.01, 29.99)
FpsCounter(last 1.00sec): total=59.96 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(average 100.80sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.01, 29.99)
FpsCounter(last 1.03sec): total=60.02 fps, number-streams=2, per-stream=30.01 fps (29.04, 30.98)
FpsCounter(average 101.83sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.05 fps, number-streams=2, per-stream=30.03 fps (30.03, 30.03)
FpsCounter(average 102.87sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.95 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(average 103.87sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=59.97 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(average 104.90sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.02 fps, number-streams=2, per-stream=30.01 fps (30.98, 29.04)
FpsCounter(average 105.93sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.01, 29.99)
FpsCounter(last 1.00sec): total=59.94 fps, number-streams=2, per-stream=29.97 fps (29.97, 29.97)
FpsCounter(average 106.94sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.01, 29.99)
FpsCounter(last 1.03sec): total=60.01 fps, number-streams=2, per-stream=30.01 fps (29.04, 30.97)
FpsCounter(average 107.97sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.09 fps, number-streams=2, per-stream=30.04 fps (30.04, 30.04)
FpsCounter(average 109.00sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(average 110.03sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.96 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(average 111.03sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.06 fps, number-streams=2, per-stream=30.03 fps (30.03, 30.03)
FpsCounter(average 112.07sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.97 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(average 113.07sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
