System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),
Date,Time,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C4res%,C6res%,SKT0,SKT0,SKT0,
2026-07-30,06:36:46.990,0.07,1.06,0.06,0.64,2.50,84.97,11.98,0.56,0.53,0.0165,0.0023,10.27,8.33,65,5151.69,4852.08,3881.56,1.06,8.85,0.07,0.55,9.75,31.34,0.00,44.32,14.59,100.00,0.00,0.00,0.00,23.26,11.42,4.26,
2026-07-30,06:36:47.988,0.06,0.95,0.06,0.67,2.61,82.28,11.66,0.58,0.55,0.0192,0.0027,10.11,8.26,60,4294.44,4531.15,3879.74,0.95,7.90,0.06,0.46,8.73,32.49,0.00,39.55,19.23,100.00,0.00,0.00,0.00,22.13,10.49,4.07,
2026-07-30,06:36:48.987,0.05,0.95,0.06,0.69,2.69,81.81,11.63,0.58,0.49,0.0194,0.0028,10.08,8.28,64,4215.71,4460.72,3875.00,0.95,7.88,0.05,0.45,8.33,30.56,0.00,43.48,17.63,100.00,0.00,0.00,0.00,22.01,10.37,4.07,
2026-07-30,06:36:49.989,0.04,0.81,0.05,0.65,2.54,81.58,11.58,0.58,0.38,0.0248,0.0035,10.06,8.27,63,3290.02,4040.71,3877.60,0.81,6.79,0.04,0.35,7.99,24.25,0.00,51.50,16.26,100.00,0.00,0.00,0.00,21.30,9.68,4.06,
2026-07-30,06:36:50.988,0.08,1.18,0.07,0.70,2.71,84.41,12.05,0.58,0.50,0.0137,0.0020,10.29,8.34,63,6176.88,5245.89,3877.22,1.18,9.81,0.08,0.66,9.72,27.32,0.00,48.85,14.11,100.00,0.00,0.00,0.00,22.97,11.93,3.46,
2026-07-30,06:36:51.988,0.06,0.99,0.06,0.66,2.59,83.21,11.59,0.57,0.51,0.0185,0.0026,10.18,8.32,62,4500.79,4560.14,3883.83,0.99,8.22,0.06,0.48,8.85,28.85,0.00,44.82,17.48,100.00,0.00,0.00,0.00,21.70,10.40,3.71,
2026-07-30,06:36:52.988,0.06,0.92,0.06,0.70,2.72,83.18,11.96,0.58,0.45,0.0191,0.0027,10.38,8.32,62,4354.16,4719.18,3877.27,0.92,7.69,0.06,0.47,8.72,27.26,0.00,45.84,18.17,100.00,0.00,0.00,0.00,22.35,10.78,4.00,
2026-07-30,06:36:53.989,0.06,0.95,0.06,0.71,2.75,81.56,11.73,0.57,0.48,0.0182,0.0026,10.22,8.31,65,4483.57,4698.99,3882.67,0.95,7.95,0.06,0.48,8.58,29.47,0.00,44.04,17.92,100.00,0.00,0.00,0.00,22.33,10.81,3.95,
2026-07-30,06:36:54.989,0.08,1.11,0.07,0.75,2.94,93.06,12.32,0.55,0.54,0.0147,0.0019,10.83,8.34,62,6327.54,5680.83,3877.90,1.11,9.28,0.08,0.68,9.71,26.59,0.00,46.04,17.66,100.00,0.00,0.00,0.00,23.41,11.70,4.13,
2026-07-30,06:36:55.988,0.09,1.22,0.07,0.68,2.64,88.61,12.73,0.57,0.46,0.0125,0.0018,10.74,8.44,65,7098.14,5801.47,3876.73,1.22,10.20,0.09,0.76,11.05,23.57,0.00,53.62,11.76,100.00,0.00,0.00,0.00,24.48,12.87,4.03,
2026-07-30,06:36:56.988,0.06,0.95,0.06,0.68,2.67,79.05,11.43,0.58,0.48,0.0182,0.0026,10.09,8.29,63,4338.71,4547.25,3877.59,0.95,7.95,0.06,0.47,8.57,22.09,0.00,51.86,17.47,100.00,0.00,0.00,0.00,21.83,10.30,3.99,
2026-07-30,06:36:57.990,0.04,0.82,0.05,0.71,2.77,78.83,11.56,0.58,0.38,0.0232,0.0034,10.06,8.29,66,3393.51,4151.19,3881.62,0.82,6.81,0.04,0.36,7.53,21.75,0.00,55.29,15.43,100.00,0.00,0.00,0.00,22.38,10.24,4.57,
2026-07-30,06:36:58.989,0.06,0.97,0.06,0.71,2.77,81.18,11.67,0.58,0.48,0.0190,0.0027,10.00,8.24,65,4272.65,4408.64,3878.08,0.97,8.08,0.06,0.46,8.00,25.30,0.00,47.93,18.77,100.00,0.00,0.00,0.00,22.09,10.26,4.28,
2026-07-30,06:36:59.989,0.06,0.98,0.06,0.71,2.78,81.09,11.72,0.59,0.49,0.0186,0.0027,9.98,8.23,66,4356.96,4440.22,3876.88,0.98,8.18,0.06,0.47,8.05,26.27,0.00,46.79,18.89,100.00,0.00,0.00,0.00,21.89,10.23,4.10,
2026-07-30,06:37:00.989,0.05,0.96,0.06,0.66,2.58,82.04,11.72,0.58,0.44,0.0193,0.0028,10.08,8.28,63,4249.26,4431.21,3879.31,0.96,7.99,0.05,0.46,8.63,25.12,0.00,49.32,16.93,100.00,0.00,0.00,0.00,21.49,10.33,3.60,
2026-07-30,06:37:01.989,0.08,1.19,0.07,0.76,2.97,84.63,11.90,0.57,0.50,0.0132,0.0019,10.24,8.34,65,6410.27,5367.37,3878.42,1.19,9.95,0.08,0.69,9.10,26.28,0.00,49.99,14.64,100.00,0.00,0.00,0.00,24.67,13.00,4.12,
2026-07-30,06:37:02.989,0.05,0.94,0.06,0.79,3.07,83.28,11.63,0.57,0.45,0.0197,0.0027,10.13,8.26,63,4232.62,4514.52,3881.38,0.94,7.81,0.05,0.45,7.38,23.16,0.00,50.17,19.29,100.00,0.00,0.00,0.00,23.41,11.41,4.43,
2026-07-30,06:37:03.990,0.04,0.83,0.05,0.69,2.69,81.11,11.48,0.58,0.43,0.0240,0.0034,9.96,8.24,65,3381.28,4068.15,3881.84,0.83,6.93,0.04,0.36,7.61,22.85,0.00,50.05,19.49,100.00,0.00,0.00,0.00,21.14,9.71,3.88,
